Wavelength	Optical power
nm	dBm
1055	-120
1055.05	-120
1055.1	-120
1055.15	-120
1055.2	-120
1055.25	-120
1055.3	-120
1055.35	-120
1055.4	-120
1055.45	-73.22
1055.5	-120
1055.55	-120
1055.6	-120
1055.65	-75.03
1055.7	-120
1055.75	-120
1055.8	-120
1055.85	-120
1055.9	-77.08
1055.95	-75.11
1056	-67.72
1056.05	-74.75
1056.1	-120
1056.15	-73.04
1056.2	-70.47
1056.25	-120
1056.3	-68.46
1056.35	-67.91
1056.4	-66.81
1056.45	-69.42
1056.5	-120
1056.55	-68.11
1056.6	-120
1056.65	-120
1056.7	-120
1056.75	-68.8
1056.8	-78.48
1056.85	-69.6
1056.9	-120
1056.95	-120
1057	-78.96
1057.05	-68.92
1057.1	-72.17
1057.15	-73.1
1057.2	-69.22
1057.25	-120
1057.3	-72.56
1057.35	-71.79
1057.4	-66.45
1057.45	-79.73
1057.5	-69.11
1057.55	-74.25
1057.6	-68.42
1057.65	-120
1057.7	-73.36
1057.75	-70.78
1057.8	-69
1057.85	-69.02
1057.9	-69.14
1057.95	-68.37
1058	-66.58
1058.05	-67.99
1058.1	-70.33
1058.15	-67.85
1058.2	-74.65
1058.25	-66.13
1058.3	-66.19
1058.35	-71.26
1058.4	-70.4
1058.45	-81.38
1058.5	-66.1
1058.55	-67.22
1058.6	-66.12
1058.65	-65.63
1058.7	-67.7
1058.75	-66.86
1058.8	-68.98
1058.85	-64.88
1058.9	-65.63
1058.95	-65.31
1059	-65.09
1059.05	-66.17
1059.1	-63.63
1059.15	-64.96
1059.2	-63.71
1059.25	-66.36
1059.3	-63.79
1059.35	-63.55
1059.4	-65.3
1059.45	-66.59
1059.5	-63.99
1059.55	-64.16
1059.6	-63.19
1059.65	-63.88
1059.7	-65.55
1059.75	-63.33
1059.8	-62.86
1059.85	-63.87
1059.9	-63.11
1059.95	-62.99
1060	-63.4
1060.05	-63.24
1060.1	-63.25
1060.15	-63.32
1060.2	-63.8
1060.25	-63.55
1060.3	-63.33
1060.35	-63.37
1060.4	-62.79
1060.45	-61.66
1060.5	-62.37
1060.55	-62.26
1060.6	-62.53
1060.65	-61.45
1060.7	-62.08
1060.75	-61.83
1060.8	-62.07
1060.85	-61.73
1060.9	-60.76
1060.95	-60.79
1061	-60.91
1061.05	-61.46
1061.1	-60.78
1061.15	-61.07
1061.2	-60.71
1061.25	-60.35
1061.3	-60.66
1061.35	-59.83
1061.4	-60.33
1061.45	-60.17
1061.5	-60.71
1061.55	-60.59
1061.6	-59.22
1061.65	-59.3
1061.7	-59.32
1061.75	-59.15
1061.8	-59.93
1061.85	-59.41
1061.9	-59.44
1061.95	-59.3
1062	-58.98
1062.05	-58.31
1062.1	-58.34
1062.15	-58.59
1062.2	-59.03
1062.25	-58.36
1062.3	-58.3
1062.35	-57.87
1062.4	-58.53
1062.45	-58
1062.5	-58.01
1062.55	-57.91
1062.6	-57.78
1062.65	-57.62
1062.7	-57.61
1062.75	-57.31
1062.8	-57.46
1062.85	-57.74
1062.9	-57.36
1062.95	-57.63
1063	-57.3
1063.05	-57.04
1063.1	-57
1063.15	-56.98
1063.2	-57.36
1063.25	-56.74
1063.3	-56.94
1063.35	-56.7
1063.4	-56.95
1063.45	-56.39
1063.5	-57.06
1063.55	-56.57
1063.6	-56.63
1063.65	-56.56
1063.7	-56.64
1063.75	-56.25
1063.8	-56.49
1063.85	-56.3
1063.9	-56.54
1063.95	-56.2
1064	-56.26
1064.05	-55.92
1064.1	-56.02
1064.15	-55.64
1064.2	-55.9
1064.25	-55.63
1064.3	-55.8
1064.35	-55.58
1064.4	-55.7
1064.45	-55.09
1064.5	-55.69
1064.55	-55.11
1064.6	-55.45
1064.65	-54.81
1064.7	-55.33
1064.75	-54.81
1064.8	-55.07
1064.85	-54.63
1064.9	-55.06
1064.95	-54.4
1065	-54.86
1065.05	-54.31
1065.1	-54.49
1065.15	-54.15
1065.2	-54.56
1065.25	-54.21
1065.3	-54.21
1065.35	-53.96
1065.4	-54.44
1065.45	-53.9
1065.5	-54.16
1065.55	-53.78
1065.6	-53.95
1065.65	-53.5
1065.7	-53.81
1065.75	-53.38
1065.8	-53.02
1065.85	-53.21
1065.9	-52.85
1065.95	-53.05
1066	-53.07
1066.05	-52.99
1066.1	-52.81
1066.15	-52.92
1066.2	-52.92
1066.25	-52.9
1066.3	-52.46
1066.35	-52.75
1066.4	-52.42
1066.45	-52.49
1066.5	-52.2
1066.55	-52.45
1066.6	-52.02
1066.65	-52.4
1066.7	-52.17
1066.75	-52.42
1066.8	-52.23
1066.85	-52.47
1066.9	-52.16
1066.95	-52.29
1067	-52.02
1067.05	-51.98
1067.1	-51.8
1067.15	-51.94
1067.2	-51.79
1067.25	-52.1
1067.3	-51.77
1067.35	-51.97
1067.4	-51.8
1067.45	-51.83
1067.5	-51.68
1067.55	-51.85
1067.6	-51.71
1067.65	-51.84
1067.7	-51.52
1067.75	-51.7
1067.8	-51.48
1067.85	-51.65
1067.9	-51.33
1067.95	-51.61
1068	-51.33
1068.05	-51.93
1068.1	-51.37
1068.15	-51.97
1068.2	-51.44
1068.25	-51.94
1068.3	-51.5
1068.35	-51.77
1068.4	-51.39
1068.45	-51.6
1068.5	-51.1
1068.55	-51.5
1068.6	-50.94
1068.65	-51.32
1068.7	-50.83
1068.75	-51.33
1068.8	-50.83
1068.85	-51.4
1068.9	-50.84
1068.95	-51.28
1069	-51.03
1069.05	-51.21
1069.1	-50.92
1069.15	-51.11
1069.2	-50.75
1069.25	-50.9
1069.3	-50.71
1069.35	-50.75
1069.4	-50.45
1069.45	-50.53
1069.5	-50.28
1069.55	-50.39
1069.6	-50.31
1069.65	-50.43
1069.7	-50.01
1069.75	-50.36
1069.8	-49.96
1069.85	-50.16
1069.9	-49.96
1069.95	-50.15
1070	-49.84
1070.05	-50.09
1070.1	-49.83
1070.15	-50.04
1070.2	-49.85
1070.25	-50.11
1070.3	-49.85
1070.35	-50.1
1070.4	-49.91
1070.45	-49.97
1070.5	-49.89
1070.55	-50.04
1070.6	-49.81
1070.65	-49.85
1070.7	-49.74
1070.75	-49.82
1070.8	-49.51
1070.85	-49.7
1070.9	-49.69
1070.95	-49.85
1071	-49.69
1071.05	-49.78
1071.1	-49.72
1071.15	-49.72
1071.2	-49.62
1071.25	-49.69
1071.3	-49.69
1071.35	-49.67
1071.4	-49.71
1071.45	-49.67
1071.5	-49.7
1071.55	-49.71
1071.6	-49.78
1071.65	-49.8
1071.7	-49.79
1071.75	-49.9
1071.8	-50
1071.85	-49.97
1071.9	-49.96
1071.95	-49.98
1072	-49.85
