Wavelength	Optical power
nm	dBm
1055	-71.64
1055.05	-71.38
1055.1	-120
1055.15	-77.5
1055.2	-68.82
1055.25	-72.04
1055.3	-72.09
1055.35	-120
1055.4	-82.65
1055.45	-69.63
1055.5	-120
1055.55	-120
1055.6	-120
1055.65	-73.03
1055.7	-67.14
1055.75	-71.7
1055.8	-120
1055.85	-69.87
1055.9	-120
1055.95	-71.93
1056	-68.56
1056.05	-70.99
1056.1	-120
1056.15	-97.27
1056.2	-82.35
1056.25	-71.93
1056.3	-120
1056.35	-120
1056.4	-77.01
1056.45	-120
1056.5	-67.59
1056.55	-77.92
1056.6	-69.09
1056.65	-72.84
1056.7	-71.06
1056.75	-72.5
1056.8	-69.33
1056.85	-70.38
1056.9	-69.3
1056.95	-68.27
1057	-70.73
1057.05	-69.67
1057.1	-70.05
1057.15	-69.9
1057.2	-71.07
1057.25	-67.02
1057.3	-67.95
1057.35	-69.45
1057.4	-68.28
1057.45	-69.8
1057.5	-79.69
1057.55	-68.86
1057.6	-70.95
1057.65	-66.98
1057.7	-65.51
1057.75	-68.85
1057.8	-69.32
1057.85	-74.03
1057.9	-66.74
1057.95	-70.91
1058	-69.79
1058.05	-73.76
1058.1	-68.42
1058.15	-67.7
1058.2	-70.21
1058.25	-66.89
1058.3	-65.99
1058.35	-66.56
1058.4	-66.75
1058.45	-67.3
1058.5	-67.75
1058.55	-67.95
1058.6	-65.96
1058.65	-64.22
1058.7	-65.07
1058.75	-63.5
1058.8	-65.9
1058.85	-63.63
1058.9	-65.34
1058.95	-65.28
1059	-63.26
1059.05	-64.81
1059.1	-63.44
1059.15	-64.66
1059.2	-63.51
1059.25	-63.9
1059.3	-63.01
1059.35	-63.39
1059.4	-63.9
1059.45	-64.13
1059.5	-63.14
1059.55	-62.62
1059.6	-62.02
1059.65	-63.22
1059.7	-62.1
1059.75	-63.41
1059.8	-62.03
1059.85	-63.99
1059.9	-62.53
1059.95	-62.15
1060	-62.37
1060.05	-62.94
1060.1	-62.85
1060.15	-62.7
1060.2	-62.08
1060.25	-61.6
1060.3	-61.98
1060.35	-61.83
1060.4	-61.28
1060.45	-61.98
1060.5	-61
1060.55	-60.5
1060.6	-60.58
1060.65	-60.67
1060.7	-60.67
1060.75	-60.77
1060.8	-60.88
1060.85	-61.26
1060.9	-60.02
1060.95	-60.44
1061	-59.94
1061.05	-60.48
1061.1	-59.94
1061.15	-60.58
1061.2	-59.76
1061.25	-59.87
1061.3	-59.2
1061.35	-59.39
1061.4	-59.35
1061.45	-59.6
1061.5	-59.16
1061.55	-58.47
1061.6	-58.72
1061.65	-58.18
1061.7	-57.99
1061.75	-58.99
1061.8	-58.66
1061.85	-58.26
1061.9	-58.17
1061.95	-57.46
1062	-57.33
1062.05	-57.18
1062.1	-57.69
1062.15	-57.74
1062.2	-58.12
1062.25	-57.25
1062.3	-57.63
1062.35	-56.7
1062.4	-56.88
1062.45	-56.92
1062.5	-57.23
1062.55	-57.19
1062.6	-57.38
1062.65	-56.37
1062.7	-56.69
1062.75	-55.96
1062.8	-56.41
1062.85	-56.3
1062.9	-56.8
1062.95	-56.95
1063	-56.59
1063.05	-56.2
1063.1	-56.12
1063.15	-55.92
1063.2	-56.49
1063.25	-56.19
1063.3	-56.56
1063.35	-55.73
1063.4	-55.75
1063.45	-55.14
1063.5	-55.63
1063.55	-55.16
1063.6	-55.95
1063.65	-55.67
1063.7	-56.2
1063.75	-55.26
1063.8	-55.5
1063.85	-54.76
1063.9	-55.39
1063.95	-55.27
1064	-55.77
1064.05	-55.29
1064.1	-55.2
1064.15	-54.34
1064.2	-54.51
1064.25	-54.1
1064.3	-54.83
1064.35	-54.89
1064.4	-55.63
1064.45	-54.87
1064.5	-54.46
1064.55	-53.85
1064.6	-53.97
1064.65	-53.97
1064.7	-54.84
1064.75	-54.5
1064.8	-54.16
1064.85	-53.56
1064.9	-53.21
1064.95	-53.24
1065	-53.48
1065.05	-53.65
1065.1	-54.19
1065.15	-53.95
1065.2	-53.78
1065.25	-52.84
1065.3	-53
1065.35	-52.92
1065.4	-53.5
1065.45	-53.37
1065.5	-53.9
1065.55	-52.98
1065.6	-52.76
1065.65	-52.18
1065.7	-52.45
1065.75	-52.41
